country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,region,top2_label,top2_weight,top3_label,top3_weight
SA,L1,W1,L1_W1,0.21740149115861468,14,5,0.05213471242297389,EG:WIND,0.5416766729311159,Asia-Pacific,TR:WIND,0.17274472353683684,EG:PV,0.13446448357513915
SA,L1,W2,L1_W2,0.17916606316548114,14,5,0.1358583305906916,EG:WIND,0.5529333731566809,Asia-Pacific,TR:WIND,0.16205985113374852,EG:PV,0.13134049064674347
SA,L1,W3,L1_W3,0.14472602185591404,14,5,0.21089022210998554,EG:WIND,0.5758824415388927,Asia-Pacific,TR:WIND,0.14794011002031085,EG:PV,0.12685114110665788
SA,L2,W0,L2_W0,0.13895298982345072,45,18,0.0,ET:WIND,0.20940630790311468,Asia-Pacific,LY:WIND,0.1278246333189248,EG:WIND,0.12678022572835806
SA,L2,W1,L2_W1,0.11766101727467043,45,18,0.05197377142600463,ET:WIND,0.20878129630491504,Asia-Pacific,LY:WIND,0.1275733046899682,EG:WIND,0.12249458992672294
SA,L2,W2,L2_W2,0.0932486355773743,45,18,0.11518233131440196,ET:WIND,0.2105950014240838,Asia-Pacific,LY:WIND,0.12398857631814438,EG:WIND,0.11407845830629312
SA,L2,W3,L2_W3,0.0847173660036388,45,18,0.1382358934050113,ET:WIND,0.21561880947441825,Asia-Pacific,LY:WIND,0.12112054108091588,EG:WIND,0.11040200601304773
SA,L3,W0,L3_W0,0.06482747063324223,461,122,0.0,MX:PV,0.06045831966394871,Asia-Pacific,CL:PV,0.056605037563383365,MX:PV,0.03763194999660937
SA,L3,W1,L3_W1,0.049182007510225625,461,113,0.04292956869707025,MX:PV,0.06397390808583153,Asia-Pacific,CL:PV,0.06101941681151028,MX:PV,0.03338033743872603
SA,L3,W2,L3_W2,0.04183821632470088,461,110,0.06280196772374966,MX:PV,0.06544741364686131,Asia-Pacific,CL:PV,0.06334587634887787,PE:WIND,0.03529876044226789
SA,L3,W3,L3_W3,0.04090921893877669,461,109,0.06482747063324223,MX:PV,0.06476399649706034,Asia-Pacific,CL:PV,0.06402490778929606,PE:WIND,0.03508539337333891
SE,L0,W0,L0_W0,0.44761180105807047,1,1,0.0,SE:WIND,1.0,Europe,,,,
SE,L0,W1,L0_W1,0.4241675018746063,1,1,0.062455384267898865,SE:WIND,1.0,Europe,,,,
SE,L0,W2,L0_W2,0.3756449668809287,1,1,0.17871465724775826,SE:WIND,1.0,Europe,,,,
SE,L0,W3,L0_W3,0.3027506634197579,1,1,0.3278067251582564,SE:WIND,1.0,Europe,,,,
