country,region,continent,tau_ms,phi,reach_km,uncovered_share,uncovered_share_baseline,migrated_share
NI,North America,Americas,150,0.8,6714,0.3883645827976494,0.4831369115293907,0.18458886273306155
NI,North America,Americas,150,1.0,6714,0.37379328417062685,0.4831369115293907,0.20829588771066793
NI,North America,Americas,200,0.0,10286,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,200,0.2,10286,0.43031111951538065,0.4831369115293907,0.110238182055925
NI,North America,Americas,200,0.4,10286,0.37126939679704335,0.4831369115293907,0.21230931535043224
NI,North America,Americas,200,0.6,10286,0.30614656693739545,0.4831369115293907,0.3075909260119536
NI,North America,Americas,200,0.8,10286,0.23494050425986052,0.4831369115293907,0.39717203818048424
NI,North America,Americas,200,1.0,10286,0.16484785024118043,0.4831369115293907,0.4767796878579366
NI,North America,Americas,300,0.0,17429,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,300,0.2,17429,0.43028750501036395,0.4831369115293907,0.11028290124552052
NI,North America,Americas,300,0.4,17429,0.3710228513985472,0.4831369115293907,0.2127000226329424
NI,North America,Americas,300,0.6,17429,0.3050545530308602,0.4831369115293907,0.30906298758222395
NI,North America,Americas,300,0.8,17429,0.2320415004400757,0.4831369115293907,0.4005731326650623
NI,North America,Americas,300,1.0,17429,0.15912401113377228,0.4831369115293907,0.4830976280249293
NI,North America,Americas,500,0.0,31714,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,500,0.2,31714,0.43028750501036395,0.4831369115293907,0.11028290124552052
NI,North America,Americas,500,0.4,31714,0.3710228513985472,0.4831369115293907,0.2127000226329424
NI,North America,Americas,500,0.6,31714,0.3050545530308602,0.4831369115293907,0.30906298758222395
NI,North America,Americas,500,0.8,31714,0.2320415004400757,0.4831369115293907,0.4005731326650623
NI,North America,Americas,500,1.0,31714,0.15912401113377228,0.4831369115293907,0.4830976280249293
NL,Europe,EurAfrMENA,50,0.0,0,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,50,0.2,0,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,50,0.4,0,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,50,0.6,0,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,50,0.8,0,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,50,1.0,0,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,100,0.0,3143,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,100,0.2,3143,0.1772565795887061,0.21229913179879215,0.09038458793817408
NL,Europe,EurAfrMENA,100,0.4,3143,0.15886085068398473,0.21229913179879215,0.13936653870426635
NL,Europe,EurAfrMENA,100,0.6,3143,0.14945265709301137,0.21229913179879215,0.16514764210980112
NL,Europe,EurAfrMENA,100,0.8,3143,0.14557205819883334,0.21229913179879215,0.17593108050745812
NL,Europe,EurAfrMENA,100,1.0,3143,0.14475837634285924,0.21229913179879215,0.17818969695719794
NL,Europe,EurAfrMENA,150,0.0,6714,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,150,0.2,6714,0.17627437356176096,0.21229913179879215,0.09297374741322231
NL,Europe,EurAfrMENA,150,0.4,6714,0.15702326068703754,0.21229913179879215,0.14430907848414917
NL,Europe,EurAfrMENA,150,0.6,6714,0.14691259716732047,0.21229913179879215,0.17205863611915953
NL,Europe,EurAfrMENA,150,0.8,6714,0.14256060360553138,0.21229913179879215,0.18418963701551483
NL,Europe,EurAfrMENA,150,1.0,6714,0.14159356965491118,0.21229913179879215,0.18688723982395897
NL,Europe,EurAfrMENA,200,0.0,10286,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,200,0.2,10286,0.17393801749361812,0.21229913179879215,0.09916003396181734
NL,Europe,EurAfrMENA,200,0.4,10286,0.1520591755878568,0.21229913179879215,0.15767013466166493
NL,Europe,EurAfrMENA,200,0.6,10286,0.13980046740802615,0.21229913179879215,0.19147835361975848
NL,Europe,EurAfrMENA,200,0.8,10286,0.13411023225367566,0.21229913179879215,0.20745891347456547
NL,Europe,EurAfrMENA,200,1.0,10286,0.13274400184644783,0.21229913179879215,0.2113187860551214
NL,Europe,EurAfrMENA,300,0.0,17429,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,300,0.2,17429,0.17392247962926394,0.21229913179879215,0.09920090413535243
NL,Europe,EurAfrMENA,300,0.4,17429,0.15198993833422503,0.21229913179879215,0.1578580939768438
NL,Europe,EurAfrMENA,300,0.6,17429,0.13964865401897342,0.21229913179879215,0.19189935164928237
NL,Europe,EurAfrMENA,300,0.8,17429,0.1338309367197023,0.21229913179879215,0.2082416000523615
NL,Europe,EurAfrMENA,300,1.0,17429,0.13240651852645555,0.21229913179879215,0.21226468779669952
NL,Europe,EurAfrMENA,500,0.0,31714,0.21229913179879215,0.21229913179879215,0.0
NL,Europe,EurAfrMENA,500,0.2,31714,0.17392247962926394,0.21229913179879215,0.09920090413535243
NL,Europe,EurAfrMENA,500,0.4,31714,0.15198718053639274,0.21229913179879215,0.15786557990673064
NL,Europe,EurAfrMENA,500,0.6,31714,0.1396362400440982,0.21229913179879215,0.19193379565137497
NL,Europe,EurAfrMENA,500,0.8,31714,0.13381864582558406,0.21229913179879215,0.2082760440544541
NL,Europe,EurAfrMENA,500,1.0,31714,0.13239418028543795,0.21229913179879215,0.21229913179879215
NO,Europe,EurAfrMENA,50,0.0,0,0.45915644255823174,0.45915644255823174,0.0
