country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,top2_label,top2_weight,region,continent,top3_label,top3_weight
SA,L3,W3,L3_W3,0.04302646420933314,210,67,0.06724855712573813,MX:PV,0.13165054914929492,CN:WIND,0.062022590294580265,Asia-Pacific,Asia,CL:PV,0.0493060594061967
SE,L0,W0,L0_W0,0.33915522577497553,2,2,0.0,SE:WIND,0.6105993988045288,SE:PV,0.38940060119546843,Europe,EurAfrMENA,,
SE,L0,W1,L0_W1,0.3152804987296051,2,2,0.05644401285880938,SE:WIND,0.6065480908669394,SE:PV,0.3934519091330579,Europe,EurAfrMENA,,
SE,L0,W2,L0_W2,0.2696554015182359,2,2,0.15588925027078207,SE:WIND,0.5998623626521853,SE:PV,0.4001376373478122,Europe,EurAfrMENA,,
SE,L0,W3,L0_W3,0.2133312681998396,2,2,0.26827763903463825,SE:WIND,0.594627477054696,SE:PV,0.40537252294530124,Europe,EurAfrMENA,,
SE,L1,W0,L1_W0,0.17634902363386246,52,27,0.0,PT:PV,0.10728357268995613,ES:WIND,0.08854851111774795,Europe,EurAfrMENA,NL:WIND,0.07747912588546024
SE,L1,W1,L1_W1,0.15513616910138273,52,26,0.05734064819490787,PT:PV,0.11202014469916495,ES:WIND,0.08740557220369094,Europe,EurAfrMENA,EE:WIND,0.07695259380028097
SE,L1,W2,L1_W2,0.12619936328030318,52,27,0.1367390903709209,PT:PV,0.11316301001800246,ES:WIND,0.08362155689871403,Europe,EurAfrMENA,EE:WIND,0.0773603834079585
SE,L1,W3,L1_W3,0.11234216412003037,52,26,0.17474882616482657,PT:PV,0.11860460506018812,ES:WIND,0.08015742241738658,Europe,EurAfrMENA,NL:WIND,0.0781413217086383
SE,L2,W0,L2_W0,0.14778869260686947,94,32,0.0,CV:PV,0.16479955777760485,ET:WIND,0.10461921806971149,Europe,EurAfrMENA,ZA:WIND,0.07577316675296282
SE,L2,W1,L2_W1,0.12765907060256917,94,32,0.05716074570206801,CV:PV,0.16823022900213902,ET:WIND,0.10661929789534123,Europe,EurAfrMENA,ZA:WIND,0.07467271047761713
SE,L2,W2,L2_W2,0.10317362734518636,94,27,0.12448348569417803,CV:PV,0.18759079124909067,ET:WIND,0.10572918827790352,Europe,EurAfrMENA,ZA:WIND,0.07046360402104525
SE,L2,W3,L2_W3,0.09420928788273711,94,27,0.14748337059180144,CV:PV,0.20098130329499145,ET:WIND,0.10534716303823288,Europe,EurAfrMENA,SN:WIND,0.071136882704675
SE,L3,W0,L3_W0,0.08934270321314253,210,52,0.0,MX:PV,0.1411084070863387,PE:PV,0.12982977224253647,Europe,EurAfrMENA,EG:PV,0.06098691713800696
SE,L3,W1,L3_W1,0.07349901747417761,210,47,0.054449096748801676,MX:PV,0.1394841175081194,PE:PV,0.13197384770446383,Europe,EurAfrMENA,OM:PV,0.07104316571071922
SE,L3,W2,L3_W2,0.06431422934478463,210,46,0.08830842103183752,PE:PV,0.13677859610606746,MX:PV,0.1333129667986685,Europe,EurAfrMENA,OM:PV,0.0897406426359788
SE,L3,W3,L3_W3,0.06396059766537006,210,46,0.08931645072757138,PE:PV,0.137708051559985,MX:PV,0.13320027849580976,Europe,EurAfrMENA,OM:PV,0.09020565953957424
SK,L0,W0,L0_W0,0.38841586549061563,2,2,0.0,SK:PV,0.5771290127244803,SK:WIND,0.4228709872755187,Europe,EurAfrMENA,,
SK,L0,W1,L0_W1,0.3646775871984016,2,2,0.05873627575255549,SK:PV,0.5825384865897638,SK:WIND,0.4174615134102351,Europe,EurAfrMENA,,
SK,L0,W2,L0_W2,0.3170121111017597,2,2,0.16512715866930805,SK:PV,0.5921978979133408,SK:WIND,0.407802102086658,Europe,EurAfrMENA,,
SK,L0,W3,L0_W3,0.25019693869612214,2,2,0.2945639830371621,SK:PV,0.6026462394031797,SK:WIND,0.39735376059681904,Europe,EurAfrMENA,,
SK,L1,W0,L1_W0,0.1877491025437925,52,24,0.0,PT:PV,0.14321920969461266,ES:WIND,0.11936021167837275,Europe,EurAfrMENA,DE:WIND,0.07893275685834665
SK,L1,W1,L1_W1,0.167662265938264,52,23,0.0610711567833826,PT:PV,0.15181123074190914,ES:WIND,0.1191056859316463,Europe,EurAfrMENA,DE:WIND,0.07676833464069897
SK,L1,W2,L1_W2,0.14027243997247102,52,23,0.14526215102782447,PT:PV,0.1596545117112538,ES:WIND,0.11937312007905859,Europe,EurAfrMENA,RU:PV,0.07749364541573209
SK,L1,W3,L1_W3,0.12660679639909636,52,22,0.18618870698355994,PT:PV,0.1686106138575279,ES:WIND,0.12291770316456258,Europe,EurAfrMENA,RU:PV,0.08005629819488798
SK,L2,W0,L2_W0,0.14869822882494807,94,28,0.0,CV:PV,0.2159211815626888,ET:WIND,0.10517586523828093,Europe,EurAfrMENA,MU:PV,0.08185980782018516
SK,L2,W1,L2_W1,0.12908734373148,94,28,0.05628055659636863,CV:PV,0.22506547561609663,ET:WIND,0.10619345646398098,Europe,EurAfrMENA,MU:PV,0.08340586885300363
SK,L2,W2,L2_W2,0.10548925245973888,94,24,0.12337182990144732,CV:PV,0.24732057857417514,ET:WIND,0.1052015000381923,Europe,EurAfrMENA,MU:PV,0.09617575015400709
SK,L2,W3,L2_W3,0.09601800682187651,94,22,0.14827197196309821,CV:PV,0.26269466210371406,MU:PV,0.11175410340933842,Europe,EurAfrMENA,ET:WIND,0.1070242900779289
SK,L3,W0,L3_W0,0.08066772061884751,210,50,0.0,CL:PV,0.2391552148079605,OM:PV,0.12576608950124635,Europe,EurAfrMENA,MX:PV,0.11225129903516594
SK,L3,W1,L3_W1,0.06550101947539484,210,47,0.05232626271218812,CL:PV,0.2672904576688668,OM:PV,0.13483199354403647,Europe,EurAfrMENA,MX:PV,0.10637231393776153
SK,L3,W2,L3_W2,0.05829830738312961,210,44,0.07934652927616516,CL:PV,0.28348404374149033,OM:PV,0.1525340912730277,Europe,EurAfrMENA,MX:PV,0.09570204752015775
SK,L3,W3,L3_W3,0.05791859371190751,210,43,0.0806664078177925,CL:PV,0.28463639316643924,OM:PV,0.1563020501557943,Europe,EurAfrMENA,MX:PV,0.09480131680110435
SN,L0,W0,L0_W0,0.2799902391870382,2,2,0.0,SN:WIND,0.5469167030189626,SN:PV,0.45308329698103494,Africa/MENA,EurAfrMENA,,
SN,L0,W1,L0_W1,0.25690802411109787,2,2,0.05290282372515725,SN:WIND,0.539862103754797,SN:PV,0.46013789624520063,Africa/MENA,EurAfrMENA,,
SN,L0,W2,L0_W2,0.21754693648164547,2,2,0.14134373915373502,SN:WIND,0.5230168728944002,SN:PV,0.476983127105597,Africa/MENA,EurAfrMENA,,
SN,L0,W3,L0_W3,0.17488349233403847,2,2,0.23309590445335174,SN:WIND,0.502278559763504,SN:PV,0.49772144023649345,Africa/MENA,EurAfrMENA,,
SN,L1,W0,L1_W0,0.15878940783482795,42,19,0.0,EG:WIND,0.16980496876369452,CV:PV,0.11038518344425768,Africa/MENA,EurAfrMENA,LY:WIND,0.09631923922277609
SN,L1,W1,L1_W1,0.1373883885181815,42,19,0.053700222190821614,EG:WIND,0.16753806279669384,CV:PV,0.11060657718628605,Africa/MENA,EurAfrMENA,LY:WIND,0.09616323256319799
SN,L1,W2,L1_W2,0.10980760156722587,42,20,0.12492257459030241,EG:WIND,0.16035964884122308,CV:PV,0.11485060835278434,Africa/MENA,EurAfrMENA,LY:WIND,0.09383147403482298
